name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y
Late. Baburao Genba Shevale Dawakhana,18.562739,73.832653,Government hospital(PMC),Government,,,,
Aundh Kuti Maternity Home,18.562805,73.810015,Government hospital(PMC),Government,,,,
Dr. Damle Skin clinic,18.5628057,73.9325977,private clinic,Private,,,,
Kohkade Hospitalnan,18.5628385,73.93184179,private hospital,Private,,,,
Vitalife clinic,18.563971,73.783057,private clinic,Private,,,,
Dr. Pawar's Dental Clinic,18.564006,73.949777,private clinic,Private,,,,
Indira IVF Pune,18.564151,73.907138,private clinic,Private,,,,
"Dental Clinic in Baner, Pune - Jehangir Oracare Dental Centre",18.564407,73.775071,private clinic,Private,,,,
Apollo Clinic - Viman Nagar,18.5645194,73.9139048,private clinic,Private,,,,
PhysioActive- Speciality Physiotherapy Clinic,18.56455,73.907447,private clinic,Private,,,,
Dispensary - Dr. B. T. Wani,18.5646672,73.8110299,Dispensary,Government,,,,
Aster Dental Clinic,18.56498,73.917462,private clinic,Private,,,,
"'MUPPRA"" Kerala Ayurvedic Treatment Centre, Viman Nagar, Pune",18.565275,73.915375,Dispensary,Government,,,,
Jeevan Jyot Clinic,18.5653687,73.9141944,private clinic,Private,,,,
Ashwini Homoeopathic Clinic & Pharmacy,18.5656118,73.8069084,private clinic,Private,,,,
Yash Clinic,18.5657754,73.7823362,private clinic,Private,,,,
Vatsalya Women's Clinic,18.5661755,73.8071905,private clinic,Private,,,,
The Family Doctor and The Family Pharma Viman Nagar,18.566384,73.913643,private clinic,Private,,,,
Sai Clinic,18.5668834,73.9182365,private clinic,Private,,,,
Trust Clinic,18.56839,73.882239,private clinic,Private,,,,
Sanjay Gandhi Maternity Home,18.571104,73.838294,Government hospital(PMC),Government,,,,
Renu Hospital,18.5719383,73.83759855,private hospital,Private,,,,
"Siddharth Dawakhana, Vishrantwadi",18.572164,73.878738,Government hospital(PMC),Government,,,,
Dr Poonam's ENT Clinic,18.5740712,73.7767044,private clinic,Private,,,,
HealthBay Clinic,18.574537,73.773599,private clinic,Private,,,,
Arogya diagnostic clinic,18.5750263,73.7697739,private clinic,Private,,,,
Spandan Clinic,18.57594,73.892962,private clinic,Private,,,,
Khrist. Rok Edward Poul Dawakhana,18.577003,73.899032,Government hospital(PMC),Government,,,,
Dr AD Upadhyay's clinic DGCA Class I Medical Examiner,18.577979,73.894043,private clinic,Private,,,,
Late. Genba Tukaram Mhaske Dawakhana,18.578015,73.874962,Government hospital(PMC),Government,,,,
Ct Nursing Homenan,18.59711,73.90164403,private hospital,Private,,,,
