name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y
Dr. Chitale Ent Hospitalnan,18.5061689,73.85289289,private hospital,Private,,,,
Ashwini Hospitalnan,18.5061837,73.8443349,private hospital,Private,,,,
Dr. Pabalkar Nursing Homenan,18.5061852,73.8565195,private hospital,Private,,,,
"Late. Tharkude Dawakhana, Erandwana",18.5066,73.832811,Government hospital(PMC),Government,,,,
Chinmay Nursing Homenan,18.5066159,73.84475521,private hospital,Private,,,,
Wagh Eye Clinic,18.506821,73.840436,private clinic,Private,,,,
"Skiin Bliss Clinic, Pune",18.506873,73.851803,private clinic,Private,,,,
Aashtang Ayurved Rugnalayanan,18.5069646,73.85072195,private hospital,Private,,,,
N. M. Wadia Hospitalnan,18.5071685,73.85499234,private hospital,Private,,,,
Deshpande X - Ray & Sonography Clinic,18.5072667,73.8041923,private clinic,Private,,,,
Parvati Netra Chikitsalyanan,18.507293,73.85177932,private hospital,Private,,,,
Dr. Manoj Chinchwadkar's Critical Ultrasonography Clinic,18.507346,73.851932,private clinic,Private,,,,
HomeoCureâ„¢ Homeopathy Clinic,18.507359,73.851338,private clinic,Private,,,,
"Sahyadri Hospital, Kothrud",18.5074423,73.80575713,private hospital,Private,,,,
Vision Eye Center,18.5075957,73.80689646,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Bakshi Hospital,18.5077479,73.80542197,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Sammohini Clinicnan,18.5079993,73.8430136,private hospital,Private,,,,
Specialty Eye Clinics,18.508281,73.830227,private clinic,Private,,,,
Chandrama Clinicnan,18.508608,73.8457036,private hospital,Private,,,,
Dr. Bhange's Eye Day Care Centernan,18.5086631,73.85503866,private hospital,Private,,,,
Shantalaxmi Clinicnan,18.5086763,73.85500388,private hospital,Private,,,,
Late. Balaji Rakhmaji Gaikwad Dawakhana,18.509032,73.86526,Government hospital(PMC),Government,,,,
Homeopathic Clinic,18.509069,73.811947,private clinic,Private,,,,
Dr. Swanand S. Gholap,18.5091081,73.8118926,private clinic,Private,,,,
Jog Hospital,18.5091699,73.82159066,private hospital,Private,,,,
Bidaye Hospital Pvt.Ltd.,18.5091951,73.84522332,private hospital,Private,,,,
Krishna Hospital,18.5092184,73.81268003,private hospital,Private,N.A.,YES,N.A.,YES
Nachiket Hospital,18.5092237,73.83162954,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Dwidal Nursing Home,18.5093097,73.83614629,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Ramkrishna  Hospitalnan,18.5093475,73.84820333,private hospital,Private,,,,
Kulkarni Endo Surgery  Institute & Re-Effective Urologist Center,18.5097874,73.80298726,private hospital,Private,,,,
Gholap Clinic,18.5098134,73.8149038,private clinic,Private,,,,
Dhodu Mama Sathe HospitalVaidykiya Mahavidyalaya,18.5098442,73.83679248,private hospital,Private,,,,
Lokmanya Hospital,18.5100547,73.83588457,private hospital,Private,N.A.,N.A.,N.A.,N.A.
"Best Liposuction, Gynecomastia, Nose Cosmetic Surgery Clinic in Pune - Cosmetic",18.510093,73.834494,private clinic,Private,,,,
"Life Force Homeopathy Clinic, Paud Road, Pune",18.51019,73.819095,private clinic,Private,,,,
Madhavrao Rande Memorial Hospital(Sanjivan Hospital),18.5102083,73.83704621,private hospital,Private,,,,
Cosmetic Laser Surgery Center,18.5102285,73.8382306,private clinic,Private,,,,
Patwardhan Eye Clinic,18.5102629,73.8176979,private clinic,Private,,,,
Niranjan Nursing Homenan,18.5102768,73.85264344,private hospital,Private,,,,
Naik Orthopadic Hospital,18.5103848,73.85943727,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Yogesh Hospitalnan,18.5104292,73.84786016,private hospital,Private,,,,
Sarpotdar Eye Hospital,18.510586,73.81989926,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Dr. Tandulwadkar's Solo Clinic,18.510714,73.835288,private clinic,Private,,,,
Dr. Vaidya Skin and Laser Treatment Clinic,18.5109166,73.8506744,private clinic,Private,,,,
Poona Hospital & Reasarch Centernan,18.5110196,73.8424597,private hospital,Private,,,,
Godbole Hospitalnan,18.5111808,73.85138735,private hospital,Private,,,,
Bai Bhikayji Pestanji Bammanji Dawakhana,18.511186,73.870064,Government hospital(PMC),Government,,,,
Late. Rohidas Kirad Dawakhana,18.511242,73.868669,Government hospital(PMC),Government,,,,
Galaxcy Care Laproscopy Institute Pvt.Ltd.,18.5114185,73.83722626,private hospital,Private,,,,
Manoj Clinicnan,18.5114385,73.84876844,private hospital,Private,,,,
Deodhar Eyes Hospital,18.5114617,73.83643808,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Nanal Hospital,18.5114677,73.83728408,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Late. Sundarabai Ganpatrao Raut Dawakhana,18.511578,73.820137,Government hospital(PMC),Government,,,,
Dr. Paranjpe Gynae Hospitalnan,18.5115989,73.84595553,private hospital,Private,,,,
Dr Tendulkar's Dispensary,18.5116074,73.8705748,Dispensary,Government,,,,
Dr Shridhar Chiplunkar,18.5117516,73.8502007,private clinic,Private,,,,
Late. Kotnis Aarogya Kendra,18.511875,73.857932,Government hospital(PMC),Government,,,,
Laxmi Prasutigruh & Jeevan JoytiHospital,18.511929,73.85450819,private hospital,Private,,,,
Chiranjeev Clinic,18.5119559,73.8534704,private clinic,Private,,,,
Vitalife Clinic,18.5119723,73.7825397,private clinic,Private,,,,
Late.Malti Kachi Maternity Home,18.5121324,73.85800581,Government hospital(PMC),Government,,,,
Dr. Ranade Hospitalnan,18.5121401,73.84916807,private hospital,Private,,,,
Nursing Homenan,18.512151,73.84953817,private hospital,Private,,,,
Shintre Hospitalnan,18.5121989,73.849542,private hospital,Private,,,,
Dabake Maternity & General NursingHome,18.5123551,73.83818309,private hospital,Private,,,,
Mahatma Gandhi Hospitalnan,18.5127056,73.84419483,private hospital,Private,,,,
Konkan Mitra Mandal Trust's SahyadriSpeciality Hospital,18.513101,73.83929666,private hospital,Private,,,,
Parivartan Ayurved Hospital,18.5132423,73.80802103,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Shining Smiles Orthodontic & Multispeciality Dental Clinic,18.51343,73.855627,private clinic,Private,,,,
Eye Hospital (Dr. Bhat's Eye CareCenter),18.5134975,73.84590853,private hospital,Private,,,,
Laxmi Clincnan,18.5136354,73.84559137,private hospital,Private,,,,
Sharada Clinic Shaishav Clinicnan,18.5137981,73.84772473,private hospital,Private,,,,
"Sathe Eye Clinic, Day Care Clinicnan",18.5138288,73.84498919,private hospital,Private,,,,
Sutika Seva Mandirnan,18.5139169,73.84640123,private hospital,Private,,,,
Best ivf infertility specialist in Pune Pcmc - Xenith Clinic,18.514103,73.828748,private clinic,Private,,,,
Dr. Tarabai Limye Hospitalnan,18.5142345,73.8494506,private hospital,Private,,,,
Kirad Hospital,18.5142545,73.86886318,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Richfeel Trichology Centre,18.514315,73.849749,private clinic,Private,,,,
Sarswati Vilas Hospitalnan,18.5145037,73.85175613,private hospital,Private,,,,
Dr.Ketkar Ent Hospitalnan,18.5145113,73.84702507,private hospital,Private,,,,
Lathi Hospital & Surgical NursingHome,18.5146524,73.85000965,private hospital,Private,,,,
Netra Seva Kendra (Jan Kalyan EyeBank),18.5146832,73.84726299,private hospital,Private,,,,
Late. Kalavatibai Mavale Dawakhana,18.514826,73.84675,Government hospital(PMC),Government,,,,
Samvedan Ent & Eye Care Center,18.515151,73.782452,private clinic,Private,,,,
V.V And Co.,18.515351,73.856388,Dispensary,Government,,,,
Dr. Manohar Gadre,18.5153929,73.850178,Dispensary,Government,,,,
Sathe Hospitalnan,18.5154496,73.84194242,private hospital,Private,,,,
Late. Mamasaheb Badade Dawakhana,18.515515,73.867725,Government hospital(PMC),Government,,,,
"Lasik Laser Cataract Eye Surgery, Eye Clinic Specialist In Pune",18.515617,73.815373,private clinic,Private,,,,
Renu Maternity & Nursing Home,18.5156975,73.87092773,private hospital,Private,,,,
Dr. Khurd Maternity Homenan,18.5157111,73.85615119,private hospital,Private,,,,
S.P. Deshpande Eye Clinicnan,18.5157878,73.8470853,private hospital,Private,,,,
Hutatma Babu Genu Dawakhana,18.515805,73.859786,Government hospital(PMC),Government,,,,
Shreeyash Hospitalnan,18.5158584,73.84188041,private hospital,Private,,,,
"Orthodontic, Dental clinic, Dental implant, Root canal, Teeth whitening, Deccan",18.515868,73.841703,private clinic,Private,,,,
Asha Kiran Hospitalnan,18.5159023,73.84746873,private hospital,Private,,,,
Yashada Hospital,18.5162507,73.86153084,private hospital,Private,,,,
Dr Deven Raisoni,18.5163528,73.8422415,Dispensary,Government,,,,
Hrishikesh Healthcare Pvt. Ltd.,18.5164131,73.84213022,private hospital,Private,,,,
Painex - Pain Clinic in Pune,18.516445,73.851879,private clinic,Private,,,,
Saikrupa Nursing Homenan,18.5165182,73.84771221,private hospital,Private,,,,
Chaitanya Eye Clinic & Phaco Centrenan,18.516541,73.85158874,private hospital,Private,,,,
