name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
Ashirwad Hospital,18.4797357,73.82834751,private hospital,Private,N.A.,N.A.,N.A.,N.A.,ashirwad hospital,['TATA AIG']
Sadguru Nursing Home,18.480586,73.82951492,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sadguru nursing home,[]
Sparsh Skin & ENT Clinic,18.4807271,73.8258652,private clinic,Private,,,,,sparsh skin ent clinic,[]
Bhaktiii Group of Homoeopathy Dispensaries,18.4809111,73.8744782,Dispensary,Government,,,,,bhaktiii group of homoeopathy dispensaries,[]
Arcus Clinic,18.4811863,73.9033259,private clinic,Private,,,,,arcus clinic,[]
Prarthna Clinic,18.4817829,73.8990373,private clinic,Private,,,,,prarthna clinic,[]
INAMDAR MULTISPECIALITY HOSPITAL,18.481893,73.891875,Dispensary,Government,,,,,inamdar multispeciality hospital,"['TATA AIG', 'Care Health', 'Aditya Birla']"
"Late. Prathak Barate Dawakhana, Warje Malwadi",18.4835225,73.79259612,Government hospital(PMC),Government,,,,,late prathak barate dawakhana warje malwadi,[]
Psychiatrist in Pune - The Rational Psychiatrist Dr Manish Bajpayee,18.483929,73.889862,private clinic,Private,,,,,psychiatrist in pune the rational psychiatrist dr manish bajpayee,[]
Rao Nursing Home,18.4846951,73.85879594,private hospital,Private,,,,,rao nursing home,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Kilbil Clinic,18.485132,73.8110948,private clinic,Private,,,,,kilbil clinic,[]
Lata Mangeshkar MedicalFoundation's Mai Mangeshkar Hospital,18.4851605,73.79978785,private hospital,Private,,,,,lata mangeshkar medicalfoundations mai mangeshkar hospital,[]
Grant Medical Foundetion Ruby HollClinic- Wanovari,18.4853169,73.90486796,private hospital,Private,,,,,grant medical foundetion ruby hollclinic wanovari,[]
"PMC Dawakhana, Pune",18.485521,73.899035,Government hospital(PMC),Government,,,,,pmc dawakhana pune,[]
Vinayak Hospital,18.4856366,73.79677714,private hospital,Private,N.A.,N.A.,N.A.,N.A.,vinayak hospital,"['Aditya Birla', 'Care Health']"
Vinayak Hospital,18.4856366,73.79677714,private hospital,Private,N.A.,N.A.,N.A.,N.A.,vinayak hospital,"['Aditya Birla', 'Care Health']"
Vinayak Hospital,18.4856366,73.79677714,private hospital,Private,N.A.,N.A.,N.A.,N.A.,vinayak hospital,"['Aditya Birla', 'Care Health']"
Vinayak Hospital,18.4856366,73.79677714,private hospital,Private,N.A.,N.A.,N.A.,N.A.,vinayak hospital,"['Aditya Birla', 'Care Health']"
Walimbe Eye Clinic,18.4858978,73.8536858,private clinic,Private,N.A.,N.A.,N.A.,N.A.,walimbe eye clinic,[]
"Neuro Psychiatry Clinic, Pune",18.486128,73.796409,private clinic,Private,,,,,neuro psychiatry clinic pune,[]
Navjeevan Nursing Home,18.4862815,73.93103888,private hospital,Private,N.A.,N.A.,N.A.,N.A.,navjeevan nursing home,[]
Navjeevan Nursing Home,18.4862815,73.93103888,private hospital,Private,N.A.,N.A.,N.A.,N.A.,navjeevan nursing home,[]
Navjeevan Nursing Home,18.4862815,73.93103888,private hospital,Private,N.A.,N.A.,N.A.,N.A.,navjeevan nursing home,[]
Navjeevan Nursing Home,18.4862815,73.93103888,private hospital,Private,N.A.,N.A.,N.A.,N.A.,navjeevan nursing home,[]
Kothari Hospitalnan,18.4868036,73.85720785,private hospital,Private,,,,,kothari hospitalnan,"['TATA AIG', 'HDFC ERGO']"
"ASHA SKIN, HAIR & LASER CLINIC",18.486955,73.812883,private clinic,Private,,,,,asha skin hair laser clinic,[]
Late. Vijayabai Shirke Aarogya Kendra,18.487103,73.815248,Government hospital(PMC),Government,,,,,late vijayabai shirke aarogya kendra,[]
Dr. Vaijayanti V. Bodas,18.488712,73.856945,private clinic,Private,,,,,dr vaijayanti v bodas,[]
Late. Arvind Ganpat Bartakke Dawakhana,18.488853,73.795542,Government hospital(PMC),Government,,,,,late arvind ganpat bartakke dawakhana,[]
Zanwar Eye Hospitalnan,18.4890425,73.85703449,private hospital,Private,,,,,zanwar eye hospitalnan,[]
Mother Hope Fertility Clinic,18.4890457,73.8570426,private clinic,Private,,,,,mother hope fertility clinic,[]
Mother Home Fartility Clinicnan,18.4891233,73.85703134,private hospital,Private,,,,,mother home fartility clinicnan,[]
Kamla Nursing Home,18.4892497,73.86224102,private hospital,Private,,,,,kamla nursing home,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
NANDINI CLINIC,18.489529,73.899958,private clinic,Private,,,,,nandini clinic,[]
"Nuleaf Hair Transplant Centre, Pune",18.489545,73.857339,private clinic,Private,,,,,nuleaf hair transplant centre pune,[]
Yashshree Maternity & Nursing Homenan,18.4898166,73.85004897,private hospital,Private,,,,,yashshree maternity nursing homenan,[]
Dr. Bande Hospital,18.4902514,73.8579388,private hospital,Private,,,,,dr bande hospital,['HDFC ERGO']
Dugad Hospital,18.4910595,73.8581677,private hospital,Private,N.A.,N.A.,N.A.,N.A.,dugad hospital,"['TATA AIG', 'Care Health']"
Express Clinics Pvt Ltd,18.492305,73.856747,private clinic,Private,,,,,express clinics pvt ltd,[]
Late. Indumati Manilal Khanna Dawakhana,18.492471,73.866599,Government hospital(PMC),Government,,,,,late indumati manilal khanna dawakhana,[]
Aadhar Hospitalnan,18.4935942,73.85034467,private hospital,Private,,,,,aadhar hospitalnan,[]
Ivory Dental Clinic,18.493721,73.933122,private clinic,Private,,,,,ivory dental clinic,[]
I - Care Clinic,18.4942611,73.8999457,private clinic,Private,,,,,i care clinic,[]
Skin City,18.494578,73.836122,private clinic,Private,,,,,skin city,[]
Janani Nursing Home,18.4947657,73.81356017,private hospital,Private,,,,,janani nursing home,"['TATA AIG', 'HDFC ERGO']"
Shashwat Health Pvt.Ltd ShashwatHospital.,18.4948393,73.81359283,private hospital,Private,,,,,shashwat health pvtltd shashwathospital,[]
"Ranka Medical Foundetion, RankaHospital",18.494933,73.86184047,private hospital,Private,,,,,ranka medical foundetion rankahospital,[]
Devyani Multy Speciality Hospital,18.4949895,73.81212228,private hospital,Private,N.A.,YES,N.A.,YES,devyani multy speciality hospital,"['TATA AIG', 'Care Health', 'Aditya Birla']"
Rukhmini Hospital,18.4950028,73.86184672,private hospital,Private,N.A.,N.A.,N.A.,N.A.,rukhmini hospital,[]
Dr Rane's Dispensary,18.495178,73.8127564,Dispensary,Government,,,,,dr ranes dispensary,[]
Karne Hospital Pvt. Ltd. OrthopedicNursing Home,18.4957009,73.85831637,private hospital,Private,,,,,karne hospital pvt ltd orthopedicnursing home,[]
Devyani Hospital Surguri Maternity & General Nursing Home,18.4959252,73.81222704,private hospital,Private,N.A.,N.A.,N.A.,N.A.,devyani hospital surguri maternity general nursing home,[]
Lokmanya Hospital Pvt. Ltd.,18.4959852,73.85427766,private hospital,Private,,,,,lokmanya hospital pvt ltd,"['TATA AIG', 'Care Health', 'Aditya Birla']"
Bharatratna Dr. Babasaheb Ambedkar Dawakhana,18.496225,73.870225,Government hospital(PMC),Government,,,,,bharatratna dr babasaheb ambedkar dawakhana,[]
Date Hospitalnan,18.4962318,73.85374921,private hospital,Private,,,,,date hospitalnan,[]
Bindu Madhav Thakare Dawakhana,18.496497,73.816307,Government hospital(PMC),Government,,,,,bindu madhav thakare dawakhana,[]
Ent Hospitalnan,18.4965233,73.85438072,private hospital,Private,,,,,ent hospitalnan,[]
"Dental Sphere: Best Dentist in Pune, Dental Clinic in Mukund Nagar, Swargate, Pu",18.49674,73.86376,private clinic,Private,,,,,dental sphere best dentist in pune dental clinic in mukund nagar swargate pu,[]
Yashwant Eye Clinic & Hospitalnan,18.4968902,73.85448405,private hospital,Private,,,,,yashwant eye clinic hospitalnan,[]
Rajamata Jijau Maternity Home,18.4972131,73.8550317,Government hospital(PMC),Government,,,,,rajamata jijau maternity home,[]
Late. Namdevrao Shivarkar Maternity Home,18.497237,73.89985,Government hospital(PMC),Government,,,,,late namdevrao shivarkar maternity home,[]
Dr. Tekawade Eye Clinic & Laser Centre,18.497339,73.858213,private clinic,Private,,,,,dr tekawade eye clinic laser centre,['Care Health']
"Hindu Ruday Samrat, Shivsena Pramukh, Balasheb Thakre Dawakhana",18.497456,73.853928,Government hospital(PMC),Government,,,,,hindu ruday samrat shivsena pramukh balasheb thakre dawakhana,[]
Dr. Purohit Maternity Hospitalnan,18.497601,73.85210745,private hospital,Private,,,,,dr purohit maternity hospitalnan,[]
Shahade Hospitalnan,18.4980417,73.85384566,private hospital,Private,,,,,shahade hospitalnan,"['TATA AIG', 'Care Health']"
Parvati General Hospitalnan,18.4983245,73.85055828,private hospital,Private,,,,,parvati general hospitalnan,[]
Homoeopathic Dispensary,18.49894,73.804159,Dispensary,Government,,,,,homoeopathic dispensary,[]
Mehta Nursing Home,18.4991081,73.86918789,private hospital,Private,N.A.,N.A.,N.A.,N.A.,mehta nursing home,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Suyash Hospityal,18.5000925,73.81233642,private hospital,Private,N.A.,N.A.,N.A.,N.A.,suyash hospityal,"['Aditya Birla', 'Care Health', 'HDFC ERGO']"
Harjeevan Hospitalnan,18.5001426,73.85408736,private hospital,Private,,,,,harjeevan hospitalnan,[]
Dr.Patankar Medical Foundetion &Patankar Hospital Pvt. Ltd.,18.5003435,73.85430306,private hospital,Private,,,,,drpatankar medical foundetion patankar hospital pvt ltd,[]
Parvati General Hospital,18.5007037,73.84619906,private hospital,Private,,,,,parvati general hospital,"['TATA AIG', 'HDFC ERGO']"
Prabhudesai Eye Clinic,18.5008587,73.8203059,private clinic,Private,N.A.,N.A.,N.A.,N.A.,prabhudesai eye clinic,[]
Prabhudesai Eye Clinic,18.5008587,73.8203059,private clinic,Private,N.A.,N.A.,N.A.,N.A.,prabhudesai eye clinic,[]
Prabhudesai Eye Clinic,18.5008587,73.8203059,private clinic,Private,N.A.,N.A.,N.A.,N.A.,prabhudesai eye clinic,[]
Prabhudesai Eye Clinic,18.5008587,73.8203059,private clinic,Private,N.A.,N.A.,N.A.,N.A.,prabhudesai eye clinic,[]
"ADVANCED STROKE & PARALYSIS CLINIC, Pune Specialist Doctor . India",18.500897,73.845902,private clinic,Private,,,,,advanced stroke paralysis clinic pune specialist doctor india,[]
Dr. Karawa Hospital MaternitySurgical & General Hospital,18.5009427,73.84611344,private hospital,Private,,,,,dr karawa hospital maternitysurgical general hospital,[]
Prabhu Desai Eye Clinic,18.5009612,73.82031088,private hospital,Private,,,,,prabhu desai eye clinic,[]
Tanmay Nursing Home,18.5009897,73.94295797,private hospital,Private,N.A.,N.A.,N.A.,N.A.,tanmay nursing home,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Sanjeevani Nursing Home,18.5011756,73.94093173,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sanjeevani nursing home,"['TATA AIG', 'HDFC ERGO']"
Sanjeevani Nursing Home,18.5011756,73.94093173,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sanjeevani nursing home,"['TATA AIG', 'HDFC ERGO']"
Sanjeevani Nursing Home,18.5011756,73.94093173,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sanjeevani nursing home,"['TATA AIG', 'HDFC ERGO']"
Sanjeevani Nursing Home,18.5011756,73.94093173,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sanjeevani nursing home,"['TATA AIG', 'HDFC ERGO']"
Sharada Clinic,18.5012305,73.86635352,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sharada clinic,"['TATA AIG', 'Care Health']"
Ratnadeep  Hospital,18.5012793,73.93719252,private hospital,Private,N.A.,N.A.,N.A.,N.A.,ratnadeep hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Tupe Hospital,18.5013038,73.93644002,private hospital,Private,N.A.,N.A.,N.A.,N.A.,tupe hospital,['Aditya Birla']
Colony Nursing Homenan,18.5014524,73.84781933,private hospital,Private,,,,,colony nursing homenan,[]
Hand Surgery Clinics,18.5015692,73.8252926,private clinic,Private,,,,,hand surgery clinics,[]
Usha Kiran Hospital,18.501784,73.93494269,private hospital,Private,N.A.,N.A.,N.A.,N.A.,usha kiran hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Aliance Munot Hospital,18.501787,73.86921741,private hospital,Private,N.A.,N.A.,N.A.,N.A.,aliance munot hospital,[]
Zanzurne Accident Hospital,18.5018891,73.93301485,private hospital,Private,,,,,zanzurne accident hospital,"['TATA AIG', 'HDFC ERGO']"
Deenannath Mangeshkar Hospital,18.5019056,73.83313987,private hospital,Private,N.A.,YES,N.A.,YES,deenannath mangeshkar hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Chavan Nursing Homenan,18.5019594,73.85852748,private hospital,Private,,,,,chavan nursing homenan,[]
Alatkar Hospital,18.5019906,73.93256001,private hospital,Private,N.A.,N.A.,N.A.,N.A.,alatkar hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Alatkar Hospital,18.5019906,73.93256001,private hospital,Private,N.A.,N.A.,N.A.,N.A.,alatkar hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Alatkar Hospital,18.5019906,73.93256001,private hospital,Private,N.A.,N.A.,N.A.,N.A.,alatkar hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Alatkar Hospital,18.5019906,73.93256001,private hospital,Private,N.A.,N.A.,N.A.,N.A.,alatkar hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Sawan Kirpal Ruhani Mission (SKRM) - Kirpal Ashram,18.502222,73.865461,Dispensary,Government,,,,,sawan kirpal ruhani mission skrm kirpal ashram,[]
Meera Hospital,18.502236,73.8747181,private hospital,Private,,,,,meera hospital,"['TATA AIG', 'Care Health', 'Aditya Birla']"
Cyber Allergy Clinic,18.5022966,73.8583978,private clinic,Private,,,,,cyber allergy clinic,[]
Skin specialist in Pune kothrud clinic,18.502302,73.815879,private clinic,Private,,,,,skin specialist in pune kothrud clinic,[]
Physiotherapy Clinic,18.502308,73.929879,private clinic,Private,,,,,physiotherapy clinic,[]
Late. Anandibai Narhar Gadgil Dawakhana,18.502322,73.838387,Government hospital(PMC),Government,,,,,late anandibai narhar gadgil dawakhana,[]
Gokhale Hospitalnan,18.5023373,73.8568698,private hospital,Private,,,,,gokhale hospitalnan,[]
Dr. Purandare Maternity Homenan,18.5023695,73.85865433,private hospital,Private,,,,,dr purandare maternity homenan,[]
Z Plus Accident Hospital & NursingHome,18.5023763,73.93290466,private hospital,Private,,,,,z plus accident hospital nursinghome,[]
Health Point Polyclinic,18.5024366,73.8096192,private clinic,Private,,,,,health point polyclinic,[]
Lotus Hospital,18.5025203,73.93369804,private hospital,Private,N.A.,N.A.,N.A.,N.A.,lotus hospital,"['TATA AIG', 'Care Health', 'Aditya Birla']"
Dr Batra's,18.5026095,73.8170481,private clinic,Private,,,,,dr batras,[]
Nadkarni Clinic,18.502818,73.828832,private clinic,Private,,,,,nadkarni clinic,[]
"Sahyadri Hospital Ltd, Hadapsar.",18.5028683,73.92779919,private hospital,Private,,,,,sahyadri hospital ltd hadapsar,[]
Late. Matoshri Ramabai Ambedkar Maternity Home,18.50291,73.850023,Government hospital(PMC),Government,,,,,late matoshri ramabai ambedkar maternity home,[]
Apolo Speciality Hospitals Pvt. Ltd.,18.5029266,73.85210357,private hospital,Private,N.A.,N.A.,N.A.,N.A.,apolo speciality hospitals pvt ltd,[]
Nova Pluse Ivf Clinic Pvt. Ltd.,18.5029712,73.8521089,private hospital,Private,,,,,nova pluse ivf clinic pvt ltd,[]
Pune Dental Clinic,18.5030247,73.8632659,private clinic,Private,,,,,pune dental clinic,[]
"Nova IVI Fertility Clinic Pune, Maharastra",18.5030333,73.8520671,private clinic,Private,,,,,nova ivi fertility clinic pune maharastra,[]
Late. Annasaheb Magar Maternity Home,18.503093,73.92653,Government hospital(PMC),Government,,,,,late annasaheb magar maternity home,[]
Smile N Shine,18.503152,73.819539,private clinic,Private,,,,,smile n shine,[]
Inamdar Hospital ( C.I.M.E.T.),18.5031819,73.90010216,private hospital,Private,,,,,inamdar hospital cimet,[]
Nobel  Hospital,18.5033274,73.92731848,private hospital,Private,N.A.,YES,N.A.,YES,nobel hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Surgical Nursing Homenan,18.5034406,73.85222131,private hospital,Private,,,,,surgical nursing homenan,[]
Dr. Deshmukh Hospitalnan,18.5034889,73.8565846,private hospital,Private,,,,,dr deshmukh hospitalnan,[]
Sane Guruji Aarogya Kendra,18.5034909,73.93810336,private hospital,Private,,,,,sane guruji aarogya kendra,[]
Late. Jayabai Nanasaheb Sutar Maternity Home,18.503652,73.807762,Government hospital(PMC),Government,,,,,late jayabai nanasaheb sutar maternity home,[]
Amey Clinic Maternity & GynaeSurgical Home,18.5037095,73.82878358,private hospital,Private,,,,,amey clinic maternity gynaesurgical home,[]
Noble Hospital,18.5037415,73.92734033,private hospital,Private,,,,,noble hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Kelkar Pediatric Hospital (Children),18.503906,73.85571762,private hospital,Private,,,,,kelkar pediatric hospital children,[]
Janta Vasahat Dawakhana,18.5041367,73.85130454,Government hospital(PMC),Government,,,,,janta vasahat dawakhana,[]
Vibhute Hospitalnan,18.504137,73.85165049,private hospital,Private,,,,,vibhute hospitalnan,[]
"Healing Hands Clinic, Tilak Road",18.50417,73.854841,private clinic,Private,,,,,healing hands clinic tilak road,[]
Tooth Clinic,18.5042105,73.9014439,private clinic,Private,,,,,tooth clinic,[]
Lapro Obeso Centernan,18.5044878,73.85108619,private hospital,Private,,,,,lapro obeso centernan,[]
Bhide Hospital Balrog Vibhagnan,18.5048168,73.84430481,private hospital,Private,,,,,bhide hospital balrog vibhagnan,[]
Bhide Hospital Orthopedic Divissionnan,18.5048664,73.8443334,private hospital,Private,,,,,bhide hospital orthopedic divissionnan,[]
Late. Savitribai Phule Maternity Home,18.504876,73.86102,Government hospital(PMC),Government,,,,,late savitribai phule maternity home,[]
Novo Grace Skin Clinic,18.504899,73.832172,private clinic,Private,,,,,novo grace skin clinic,[]
Dr Jagtap Dispensary,18.5051912,73.8382896,Dispensary,Government,,,,,dr jagtap dispensary,[]
Jeevan Sadhana Clinic,18.505277,73.824124,private clinic,Private,,,,,jeevan sadhana clinic,[]
Anand Maternity & Nursing Homenan,18.5054941,73.85053047,private hospital,Private,,,,,anand maternity nursing homenan,['TATA AIG']
Late. Chandu Mama Sonawane Maternity Home,18.505713,73.868817,Government hospital(PMC),Government,,,,,late chandu mama sonawane maternity home,[]
Shri Dashabhuja X-Ray Clinic,18.5057279,73.8261294,private clinic,Private,,,,,shri dashabhuja xray clinic,[]
Amey Nursing Homenan,18.5059518,73.85677009,private hospital,Private,,,,,amey nursing homenan,[]
Eternis Skin & Hair clinic,18.506019,73.817779,private clinic,Private,,,,,eternis skin hair clinic,[]
Day Care  Orthopedic Hospitalnan,18.506127,73.85389021,private hospital,Private,,,,,day care orthopedic hospitalnan,[]
Neo Hospitalnan,18.5061368,73.8522629,private hospital,Private,,,,,neo hospitalnan,[]
Homeo Care Clinic,18.5061464,73.9274336,private clinic,Private,,,,,homeo care clinic,[]
Dr. Chitale Ent Hospitalnan,18.5061689,73.85289289,private hospital,Private,,,,,dr chitale ent hospitalnan,[]
Ashwini Hospitalnan,18.5061837,73.8443349,private hospital,Private,,,,,ashwini hospitalnan,['Care Health']
Dr. Pabalkar Nursing Homenan,18.5061852,73.8565195,private hospital,Private,,,,,dr pabalkar nursing homenan,[]
"Late. Tharkude Dawakhana, Erandwana",18.5066,73.832811,Government hospital(PMC),Government,,,,,late tharkude dawakhana erandwana,[]
Chinmay Nursing Homenan,18.5066159,73.84475521,private hospital,Private,,,,,chinmay nursing homenan,[]
Wagh Eye Clinic,18.506821,73.840436,private clinic,Private,,,,,wagh eye clinic,[]
"Skiin Bliss Clinic, Pune",18.506873,73.851803,private clinic,Private,,,,,skiin bliss clinic pune,[]
Aashtang Ayurved Rugnalayanan,18.5069646,73.85072195,private hospital,Private,,,,,aashtang ayurved rugnalayanan,[]
N. M. Wadia Hospitalnan,18.5071685,73.85499234,private hospital,Private,,,,,n m wadia hospitalnan,[]
Deshpande X - Ray & Sonography Clinic,18.5072667,73.8041923,private clinic,Private,,,,,deshpande x ray sonography clinic,[]
Parvati Netra Chikitsalyanan,18.507293,73.85177932,private hospital,Private,,,,,parvati netra chikitsalyanan,[]
Dr. Manoj Chinchwadkar's Critical Ultrasonography Clinic,18.507346,73.851932,private clinic,Private,,,,,dr manoj chinchwadkars critical ultrasonography clinic,[]
HomeoCureâ„¢ Homeopathy Clinic,18.507359,73.851338,private clinic,Private,,,,,homeocure homeopathy clinic,[]
"Sahyadri Hospital, Kothrud",18.5074423,73.80575713,private hospital,Private,,,,,sahyadri hospital kothrud,"['Aditya Birla', 'Care Health', 'HDFC ERGO']"
Vision Eye Center,18.5075957,73.80689646,private hospital,Private,N.A.,N.A.,N.A.,N.A.,vision eye center,[]
Bakshi Hospital,18.5077479,73.80542197,private hospital,Private,N.A.,N.A.,N.A.,N.A.,bakshi hospital,"['Aditya Birla', 'Care Health', 'HDFC ERGO']"
Sammohini Clinicnan,18.5079993,73.8430136,private hospital,Private,,,,,sammohini clinicnan,[]
Specialty Eye Clinics,18.508281,73.830227,private clinic,Private,,,,,specialty eye clinics,[]
Chandrama Clinicnan,18.508608,73.8457036,private hospital,Private,,,,,chandrama clinicnan,[]
Dr. Bhange's Eye Day Care Centernan,18.5086631,73.85503866,private hospital,Private,,,,,dr bhanges eye day care centernan,[]
Shantalaxmi Clinicnan,18.5086763,73.85500388,private hospital,Private,,,,,shantalaxmi clinicnan,[]
Late. Balaji Rakhmaji Gaikwad Dawakhana,18.509032,73.86526,Government hospital(PMC),Government,,,,,late balaji rakhmaji gaikwad dawakhana,[]
Homeopathic Clinic,18.509069,73.811947,private clinic,Private,,,,,homeopathic clinic,[]
Dr. Swanand S. Gholap,18.5091081,73.8118926,private clinic,Private,,,,,dr swanand s gholap,[]
Jog Hospital,18.5091699,73.82159066,private hospital,Private,,,,,jog hospital,"['TATA AIG', 'Care Health', 'Aditya Birla']"
Bidaye Hospital Pvt.Ltd.,18.5091951,73.84522332,private hospital,Private,,,,,bidaye hospital pvtltd,[]
Krishna Hospital,18.5092184,73.81268003,private hospital,Private,N.A.,YES,N.A.,YES,krishna hospital,"['TATA AIG', 'Care Health']"
Nachiket Hospital,18.5092237,73.83162954,private hospital,Private,N.A.,N.A.,N.A.,N.A.,nachiket hospital,['Care Health']
Dwidal Nursing Home,18.5093097,73.83614629,private hospital,Private,N.A.,N.A.,N.A.,N.A.,dwidal nursing home,"['TATA AIG', 'Care Health']"
Ramkrishna  Hospitalnan,18.5093475,73.84820333,private hospital,Private,,,,,ramkrishna hospitalnan,"['TATA AIG', 'Care Health']"
Kulkarni Endo Surgery  Institute & Re-Effective Urologist Center,18.5097874,73.80298726,private hospital,Private,,,,,kulkarni endo surgery institute reeffective urologist center,"['TATA AIG', 'HDFC ERGO']"
Gholap Clinic,18.5098134,73.8149038,private clinic,Private,,,,,gholap clinic,[]
Dhodu Mama Sathe HospitalVaidykiya Mahavidyalaya,18.5098442,73.83679248,private hospital,Private,,,,,dhodu mama sathe hospitalvaidykiya mahavidyalaya,[]
Lokmanya Hospital,18.5100547,73.83588457,private hospital,Private,N.A.,N.A.,N.A.,N.A.,lokmanya hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
"Best Liposuction, Gynecomastia, Nose Cosmetic Surgery Clinic in Pune - Cosmetic",18.510093,73.834494,private clinic,Private,,,,,best liposuction gynecomastia nose cosmetic surgery clinic in pune cosmetic,[]
"Life Force Homeopathy Clinic, Paud Road, Pune",18.51019,73.819095,private clinic,Private,,,,,life force homeopathy clinic paud road pune,[]
Madhavrao Rande Memorial Hospital(Sanjivan Hospital),18.5102083,73.83704621,private hospital,Private,,,,,madhavrao rande memorial hospitalsanjivan hospital,[]
Cosmetic Laser Surgery Center,18.5102285,73.8382306,private clinic,Private,,,,,cosmetic laser surgery center,[]
Patwardhan Eye Clinic,18.5102629,73.8176979,private clinic,Private,,,,,patwardhan eye clinic,[]
Niranjan Nursing Homenan,18.5102768,73.85264344,private hospital,Private,,,,,niranjan nursing homenan,[]
Naik Orthopadic Hospital,18.5103848,73.85943727,private hospital,Private,N.A.,N.A.,N.A.,N.A.,naik orthopadic hospital,[]
Yogesh Hospitalnan,18.5104292,73.84786016,private hospital,Private,,,,,yogesh hospitalnan,['TATA AIG']
Sarpotdar Eye Hospital,18.510586,73.81989926,private hospital,Private,N.A.,N.A.,N.A.,N.A.,sarpotdar eye hospital,[]
Dr. Tandulwadkar's Solo Clinic,18.510714,73.835288,private clinic,Private,,,,,dr tandulwadkars solo clinic,[]
Dr. Vaidya Skin and Laser Treatment Clinic,18.5109166,73.8506744,private clinic,Private,,,,,dr vaidya skin and laser treatment clinic,[]
Poona Hospital & Reasarch Centernan,18.5110196,73.8424597,private hospital,Private,,,,,poona hospital reasarch centernan,['HDFC ERGO']
Godbole Hospitalnan,18.5111808,73.85138735,private hospital,Private,,,,,godbole hospitalnan,[]
Bai Bhikayji Pestanji Bammanji Dawakhana,18.511186,73.870064,Government hospital(PMC),Government,,,,,bai bhikayji pestanji bammanji dawakhana,[]
Late. Rohidas Kirad Dawakhana,18.511242,73.868669,Government hospital(PMC),Government,,,,,late rohidas kirad dawakhana,[]
Galaxcy Care Laproscopy Institute Pvt.Ltd.,18.5114185,73.83722626,private hospital,Private,,,,,galaxcy care laproscopy institute pvtltd,"['Aditya Birla', 'Care Health']"
Manoj Clinicnan,18.5114385,73.84876844,private hospital,Private,,,,,manoj clinicnan,[]
Deodhar Eyes Hospital,18.5114617,73.83643808,private hospital,Private,N.A.,N.A.,N.A.,N.A.,deodhar eyes hospital,"['TATA AIG', 'HDFC ERGO']"
Nanal Hospital,18.5114677,73.83728408,private hospital,Private,N.A.,N.A.,N.A.,N.A.,nanal hospital,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Late. Sundarabai Ganpatrao Raut Dawakhana,18.511578,73.820137,Government hospital(PMC),Government,,,,,late sundarabai ganpatrao raut dawakhana,[]
Dr. Paranjpe Gynae Hospitalnan,18.5115989,73.84595553,private hospital,Private,,,,,dr paranjpe gynae hospitalnan,[]
Dr Tendulkar's Dispensary,18.5116074,73.8705748,Dispensary,Government,,,,,dr tendulkars dispensary,[]
Dr Shridhar Chiplunkar,18.5117516,73.8502007,private clinic,Private,,,,,dr shridhar chiplunkar,[]
Late. Kotnis Aarogya Kendra,18.511875,73.857932,Government hospital(PMC),Government,,,,,late kotnis aarogya kendra,[]
Laxmi Prasutigruh & Jeevan JoytiHospital,18.511929,73.85450819,private hospital,Private,,,,,laxmi prasutigruh jeevan joytihospital,[]
Chiranjeev Clinic,18.5119559,73.8534704,private clinic,Private,,,,,chiranjeev clinic,[]
Vitalife Clinic,18.5119723,73.7825397,private clinic,Private,,,,,vitalife clinic,[]
Late.Malti Kachi Maternity Home,18.5121324,73.85800581,Government hospital(PMC),Government,,,,,latemalti kachi maternity home,[]
Dr. Ranade Hospitalnan,18.5121401,73.84916807,private hospital,Private,,,,,dr ranade hospitalnan,[]
Nursing Homenan,18.512151,73.84953817,private hospital,Private,,,,,nursing homenan,[]
Shintre Hospitalnan,18.5121989,73.849542,private hospital,Private,,,,,shintre hospitalnan,[]
Dabake Maternity & General NursingHome,18.5123551,73.83818309,private hospital,Private,,,,,dabake maternity general nursinghome,[]
Mahatma Gandhi Hospitalnan,18.5127056,73.84419483,private hospital,Private,,,,,mahatma gandhi hospitalnan,[]
