name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
Atharv Hospitalnan,18.53119,73.84731013,private hospital,Private,,,,,atharv hospitalnan,['TATA AIG']
"Life Force Homeopathy Clinic, Sasoon Road, Pune",18.531353,73.876723,private clinic,Private,,,,,life force homeopathy clinic sasoon road pune,[]
Dr. Naidu Hospital,18.53139,73.869151,Government hospital(PMC),Government,,,,,dr naidu hospital,['Care Health']
National Institute of Naturopathy,18.5315624,73.8740255,Dispensary,Government,,,,,national institute of naturopathy,[]
Pashan Dispensary,18.5315796,73.8501753,Dispensary,Government,,,,,pashan dispensary,[]
Oyster  & Pearl Hospital Pvt.Ltd.,18.5319151,73.84731079,private hospital,Private,,,,,oyster pearl hospital pvtltd,['TATA AIG']
Define Aesthetics,18.531965,73.830489,private clinic,Private,,,,,define aesthetics,[]
Dr. Gogate Eye Clinic,18.5319958,73.87452667,private hospital,Private,,,,,dr gogate eye clinic,[]
Dr Gogate`s Eye Clinic,18.532037,73.874475,private clinic,Private,,,,,dr gogates eye clinic,[]
Sai Cosmetic Clinic - Hair Transplant Surgery Clinic & Skin Care Treatment in Pu,18.5321814,73.9331529,private clinic,Private,,,,,sai cosmetic clinic hair transplant surgery clinic skin care treatment in pu,[]
Best Cardiologist in Pune - Dr. Rahul Patil,18.532312,73.876551,private clinic,Private,,,,,best cardiologist in pune dr rahul patil,[]
Dr. Wachasunder Ent Clinicnan,18.5326896,73.84288448,private hospital,Private,,,,,dr wachasunder ent clinicnan,[]
Dr. Dalvi Maternity Hospital,18.533046,73.84891,Government hospital(PMC),Government,,,,,dr dalvi maternity hospital,[]
Grant Medical Foundetion Ruby HollClinic,18.5334009,73.87738058,private hospital,Private,,,,,grant medical foundetion ruby hollclinic,[]
Ruby Hall Clinic,18.5335172,73.8773236,private clinic,Private,,,,,ruby hall clinic,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Kids Clinic (I) Pvt. Ltd. Cloud NineHospital,18.5335351,73.84718891,private hospital,Private,,,,,kids clinic i pvt ltd cloud ninehospital,[]
Late. Sakharam Kundlik Kodre Maternity Home,18.53391,73.927257,Government hospital(PMC),Government,,,,,late sakharam kundlik kodre maternity home,[]
Dr. Viral - Cosmetic & Hair Transplant Surgeon,18.5362257,73.8987395,private clinic,Private,,,,,dr viral cosmetic hair transplant surgeon,[]
Morpheus Bliss Fertility Center,18.536725,73.876726,private clinic,Private,,,,,morpheus bliss fertility center,[]
Four Fountains De-Stress Spa,18.536767,73.898448,Dispensary,Government,,,,,four fountains destress spa,[]
Late. Sahadev Eknath Nimhan Maternity Home,18.537722,73.795979,Government hospital(PMC),Government,,,,,late sahadev eknath nimhan maternity home,[]
Sahadeo Eknath Nimhan Dispensary,18.5377887,73.7959732,Dispensary,Government,,,,,sahadeo eknath nimhan dispensary,[]
Late. Bapusaheb Genuji Kawade Patil Dawakhana,18.537819,73.898493,Government hospital(PMC),Government,,,,,late bapusaheb genuji kawade patil dawakhana,[]
Dr.Sanjay Agarwal's Aegle Clinic,18.538359,73.875842,private clinic,Private,,,,,drsanjay agarwals aegle clinic,[]
Kaya Skin Clinic,18.5391386,73.8988786,private clinic,Private,,,,,kaya skin clinic,[]
Dispensary,18.539337,73.794978,Dispensary,Government,,,,,dispensary,[]
RX Clinic,18.5394259,73.8951133,private clinic,Private,,,,,rx clinic,[]
Blush Clinics by Dr Jamuna Pai Pune,18.5406983,73.8795937,private clinic,Private,,,,,blush clinics by dr jamuna pai pune,[]
"Jehangir Oracare Dental Centre - Bhosale Nagar, Pune",18.542725,73.838442,private clinic,Private,,,,,jehangir oracare dental centre bhosale nagar pune,[]
Habbu Homoeo Clinic,18.542875,73.8176473,Dispensary,Government,,,,,habbu homoeo clinic,[]
Dr Pandit's Clinic for Dental Excellence & Implant Centre Pune,18.543201,73.785428,private clinic,Private,,,,,dr pandits clinic for dental excellence implant centre pune,[]
Express Clinics,18.5451885,73.9095194,private clinic,Private,,,,,express clinics,[]
Hair Science Robotic Hair Transplant clinic in Pune,18.545273,73.829756,private clinic,Private,,,,,hair science robotic hair transplant clinic in pune,[]
Katariya Hospitalnan,18.545521,73.88597036,private hospital,Private,,,,,katariya hospitalnan,"['TATA AIG', 'HDFC ERGO']"
Bharat Ratna Late. Rajiv Gandhi Maternity Home,18.545626,73.883893,Government hospital(PMC),Government,,,,,bharat ratna late rajiv gandhi maternity home,[]
Sparkle The Dental Clinic,18.546734,73.901789,private clinic,Private,,,,,sparkle the dental clinic,[]
Late. Lokshahir Annabhau Sathe Dawakhana,18.549598,73.890645,Government hospital(PMC),Government,,,,,late lokshahir annabhau sathe dawakhana,[]
Gold Rush Hospitalnan,18.5500917,73.93729302,private hospital,Private,,,,,gold rush hospitalnan,[]
Parees Homeopathy Clinic,18.550356,73.893627,Dispensary,Government,,,,,parees homeopathy clinic,[]
Central Government Health Services Dispensary,18.5513194,73.8199604,Dispensary,Government,,,,,central government health services dispensary,[]
Shree Hospital Criticare & TraumaCentre Pvt.Ltd.,18.5515319,73.94122124,private hospital,Private,,,,,shree hospital criticare traumacentre pvtltd,[]
Homeopathy Clinic @ Kharadi Pune,18.551602,73.938706,private clinic,Private,,,,,homeopathy clinic kharadi pune,[]
Late. Damodar Ravji Galande Patil Dawakhana,18.551841,73.896929,Government hospital(PMC),Government,,,,,late damodar ravji galande patil dawakhana,[]
